sku_id,actual_total,forecast_total,absolute_error_total,mean_absolute_error,mean_squared_error,overforecast_weeks,underforecast_weeks,evaluation_weeks,rmse,forecast_error_total,wape_percent,bias_percent,bias_direction,description,category,error_rank
SKU10108,2830,2540.353120918421,1032.199316215816,79.39994740121662,14911.343465060603,8,5,13,122.11201196057905,-289.64687908157885,36.47347407123025,-10.234872052352609,Under-forecasting,POWER BANK 10000MAH,Electronics,34
SKU10112,2751,3028.745344098705,1013.692773351231,77.97636718086393,8949.547649619715,8,5,13,94.6020488658661,277.7453440987051,36.848156065112,10.096159363820615,Over-forecasting,KEYBOARD WIRELESS,Electronics,35
SKU10141,1888,1869.300827358071,988.9185539194119,76.07065799380092,10105.172949612755,9,4,13,100.52448930291939,-18.699172641928953,52.379160694884106,-0.9904222797631861,Balanced,JAM JAR STRAWBERRY,Food & Bev,36
SKU10107,1848,1830.3458026269152,976.1804500797947,75.0908038522919,7185.668956899428,8,5,13,84.76832519815068,-17.6541973730848,52.82361742856032,-0.9553137106647618,Balanced,USB CABLE TYPE-C,Electronics,37
SKU10000,2345,2204.1788199913417,974.7768857979078,74.98283736906983,8165.272163205038,6,7,13,90.36189552684826,-140.8211800086583,41.56831069500673,-6.005167590987561,Under-forecasting,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,38
SKU10003,2358,1939.5586714634355,952.4203258367107,73.26310198743928,7259.720776467832,6,7,13,85.20399507339918,-418.44132853656447,40.391023148291374,-17.74560341546075,Under-forecasting,GLASS STAR FROSTED T-LIGHT HOLDER,Home Decor,39
SKU10051,1179,1890.7749082310115,929.1523446735392,71.47325728257994,5569.019401645849,11,2,13,74.62586282010982,711.7749082310115,78.80851099860384,60.37106940042507,Over-forecasting,STICKY NOTES PACK,Stationery,40
SKU10131,1707,1624.1381669169627,926.5091829422918,71.26993714940706,5720.302176851387,7,6,13,75.6326792917677,-82.86183308303725,54.277046452389676,-4.854237438959418,Balanced,HAND CREAM SHEA,Beauty,41
SKU10037,1423,1607.2660287999158,911.2512295463367,70.09624842664128,6803.086699989498,10,3,13,82.48082625670949,184.26602879991583,64.0373316617243,12.94912359802641,Over-forecasting,BLENDER COMPACT,Kitchenware,42
SKU10015,1553,1627.0153973082804,905.3013827593617,69.63856790456629,6352.602263496416,8,5,13,79.70321363343146,74.0153973082804,58.293714279418005,4.76596247960595,Balanced,PHOTO FRAME SILVER,Home Decor,43
SKU10117,2216,2067.0807661265126,903.9864302516534,69.53741771166564,6340.115410405196,6,7,13,79.62484166643722,-148.91923387348743,40.793611473450056,-6.720182034002141,Under-forecasting,TABLET STAND ALUMINUM,Electronics,44
SKU10066,2116,2381.0342424771047,880.554458602543,67.73495835404177,6049.020258348562,10,3,13,77.77544765765454,265.0342424771047,41.61410484889145,12.525247754116482,Over-forecasting,WHITEBOARD A3,Stationery,45
SKU10137,1021,1208.1673023140916,869.8229630046565,66.90945869266588,6050.306739455553,10,3,13,77.7837177014287,187.16730231409156,85.19323829624452,18.33176320412258,Over-forecasting,HONEY JAR ORGANIC,Food & Bev,46
SKU10044,930,1324.5584840059355,829.0591256764684,63.773778898189875,4791.973006108503,9,4,13,69.22407822505478,394.5584840059355,89.14614254585682,42.42564344149844,Over-forecasting,TEAPOT CERAMIC,Kitchenware,47
SKU10022,1225,960.7127196385234,827.0619963775902,63.62015356750693,9055.11283121609,10,3,13,95.15835660211924,-264.28728036147663,67.51526501041553,-21.574471866242988,Under-forecasting,FIGURINE SET CERAMIC,Home Decor,48
SKU10018,1069,814.422938991954,816.4611843627487,62.804706489442204,4887.096233040686,7,6,13,69.90776947550741,-254.57706100804603,76.37616317705788,-23.81450523929336,Under-forecasting,LAMP SHADE FABRIC,Home Decor,49
SKU10118,1204,1058.582208748579,810.2016535971945,62.32320412286112,7070.305305581041,10,3,13,84.08510751364382,-145.41779125142102,67.29249614594639,-12.077889638822343,Under-forecasting,HDMI CABLE 2M,Electronics,50
SKU10099,1080,1661.5557257935652,806.8125555476882,62.0625042728991,5092.040828205842,12,1,13,71.35853717815299,581.5557257935652,74.70486625441558,53.84775238829308,Over-forecasting,WALLET LEATHER BIFOLD,Apparel,51
SKU10049,1845,1891.0081840573043,791.6006726217809,60.89235943244468,4598.172356701923,8,5,13,67.80982492752744,46.008184057304334,42.9051855079556,2.4936685125910207,Balanced,FOUNTAIN PEN BLUE,Stationery,52
SKU10102,807,1356.0805274112467,789.6370083148736,60.74130833191335,4516.094112916938,12,1,13,67.20189069451051,549.0805274112467,97.84845208362746,68.03971839048907,Over-forecasting,SHOES CASUAL CANVAS,Apparel,53
SKU10148,1404,1667.3823213518097,785.0551349804356,60.38885653695658,5111.220207791615,10,3,13,71.49279829319605,263.38232135180965,55.91560790458943,18.759424597707238,Over-forecasting,ENERGY BAR PROTEIN,Food & Bev,54
SKU10017,1470,1428.8680725247043,783.2828898302479,60.25252998694214,6431.31308201051,9,4,13,80.19546796428405,-41.1319274752957,53.28455032858829,-2.7980903044418843,Balanced,WALL ART CANVAS,Home Decor,55
SKU10073,981,1352.170938650497,766.1694982179868,58.936115247537444,4379.323744755213,10,3,13,66.17645914337827,371.17093865049696,78.10086628114034,37.83597743634016,Over-forecasting,PUZZLE 500PC LANDSCAPE,Toys,56
SKU10076,1512,1766.5719614513278,754.008929281726,58.000686867825074,5037.924431818594,9,4,13,70.97833776455035,254.57196145132775,49.86831542868558,16.836769937257127,Over-forecasting,RC HELICOPTER MINI,Toys,57
SKU10046,969,949.9668861258641,746.2334386696688,57.402572205359135,5973.137117094361,10,3,13,77.28607324152496,-19.033113874135893,77.01067478531154,-1.9642016381977183,Balanced,BAKING TRAY NON-STICK,Kitchenware,58
SKU10013,1086,1019.2413316673938,738.0822245739939,56.77555573646107,4997.383929667907,9,4,13,70.69217728764553,-66.75866833260625,67.96337242854456,-6.147207028785106,Under-forecasting,SCENTED CANDLE LAVENDER,Home Decor,59
SKU10065,1202,1016.2651989801029,718.9207047690833,55.301592674544864,4151.320128631236,5,8,13,64.43073900423025,-185.73480101989708,59.81037477280226,-15.45214650747896,Under-forecasting,INDEX CARDS PACK,Stationery,60
SKU10011,1088,987.6352219512871,708.3097480332757,54.4853652333289,5205.764003531356,8,5,13,72.150980613789,-100.36477804871288,65.10199890011725,-9.224703864771405,Under-forecasting,WALL CLOCK ROMAN,Home Decor,61
SKU10091,887,854.182604993619,705.1866116311691,54.24512397162839,5323.939081506111,10,3,13,72.9653279407837,-32.81739500638105,79.50243648603936,-3.699819053706995,Balanced,BEANIE HAT WINTER,Apparel,62
SKU10079,1021,900.915283157058,690.3486256876804,53.10374043751388,7394.827328319769,10,3,13,85.99318187112144,-120.08471684294204,67.61494864717731,-11.761480591865038,Under-forecasting,BABY RATTLE WOODEN,Toys,63
SKU10074,972,758.7155266480087,676.27421594542,52.02109353426307,5629.0085477868415,9,4,13,75.02671889258414,-213.28447335199132,69.57553661989918,-21.942847052674004,Under-forecasting,BOARD GAME FAMILY,Toys,64
SKU10006,870,1200.491341622758,674.6332126427534,51.89486251098103,4315.711043666089,12,1,13,65.69407160213233,330.491341622758,77.54404743020153,37.98751053135149,Over-forecasting,CERAMIC VASE BLUE,Home Decor,65
SKU10128,711,1059.1243326239912,666.0773071196844,51.23671593228342,3029.062251268043,10,3,13,55.03691716718918,348.1243326239912,93.68175908856321,48.9626346869186,Over-forecasting,HAIR DRYER COMPACT,Beauty,66
SKU10038,842,838.6556060367309,644.0365345169084,49.54127188591603,4084.012947585392,10,3,13,63.906282536112144,-3.3443939632691126,76.48889958633117,-0.39719643269229366,Balanced,MIXING BOWL CERAMIC,Kitchenware,67
SKU10115,1376,1687.1035910963503,633.1403541558357,48.703104165833516,2939.163704887027,10,3,13,54.21405449592409,311.1035910963503,46.01310713341829,22.609272608746387,Over-forecasting,SMART PLUG WIFI,Electronics,68
SKU10125,894,1136.7338905903334,628.2506108841021,48.32697006800785,3589.0414754042063,11,2,13,59.90860935962549,242.73389059033343,70.27411754855729,27.151441900484723,Over-forecasting,BODY LOTION VANILLA,Beauty,69
SKU10001,770,674.1282158524808,626.2947873832379,48.17652210640291,4438.140446083204,10,3,13,66.61936990157746,-95.87178414751918,81.33698537444648,-12.450881058119375,Under-forecasting,WHITE METAL LANTERN,Home Decor,70
SKU10029,871,874.9600551598035,616.5018488884468,47.42321914526514,4450.264857930992,11,2,13,66.71030548521713,3.96005515980346,70.78092409741066,0.4546561607122227,Balanced,SET 7 BABUSHKA NESTING BOXES,Kitchenware,71
SKU10129,853,924.3524359076551,604.5495213777286,46.503809336748354,3430.7147389680176,9,4,13,58.57230351427215,71.35243590765515,70.87333193173842,8.364881114613734,Over-forecasting,FACE MASK PACK 5,Beauty,72
SKU10078,925,789.0012509342082,589.0545881875897,45.311891399045365,4143.542835429149,8,5,13,64.37035680675655,-135.9987490657918,63.68157710136105,-14.702567466572086,Under-forecasting,STUFFED ANIMAL DOG,Toys,73
SKU10110,883,813.4585284436785,587.0780496995264,45.15984997688665,4329.996335483581,9,4,13,65.80270766073066,-69.54147155632154,66.48675534535974,-7.875591342731771,Under-forecasting,SCREEN PROTECTOR GLASS,Electronics,74
SKU10009,901,996.4325277202383,571.7012756686336,43.977021205279506,3536.986816918699,11,2,13,59.47257197161309,95.43252772023834,63.451861894409944,10.591845473944323,Over-forecasting,CUSHION COVER VINTAGE,Home Decor,75
SKU10028,835,852.0230623426435,543.7637736674718,41.82798258980552,3477.174449104558,10,3,13,58.96757116504425,17.02306234264347,65.1214100200565,2.0386901009153857,Balanced,IVORY KNITTED MUG COSY,Kitchenware,76
SKU10077,837,977.3553538484551,542.221438865782,41.709341451214,2675.3435869314176,10,3,13,51.72372363752843,140.35535384845514,64.7815339146693,16.768859480102165,Over-forecasting,BUILDING BLOCKS 200PC,Toys,77
SKU10136,799,840.3945396753684,522.3345814038646,40.17958318491266,2492.478760036998,10,3,13,49.92473094606518,41.39453967536838,65.37353959998306,5.1807934512350915,Over-forecasting,COFFEE BEANS ARABICA,Food & Bev,78
SKU10111,663,746.9341096929328,513.2264438073174,39.478957215947496,3995.636381640656,11,2,13,63.211046357742376,83.9341096929328,77.40972003126959,12.659745051724403,Over-forecasting,WEBCAM HD,Electronics,79
SKU10034,650,500.2776507427395,502.3262243433061,38.64047879563893,4118.748049366168,9,4,13,64.1774730677842,-149.72234925726048,77.28095759127785,-23.03420757804007,Under-forecasting,COFFEE GRINDER MANUAL,Kitchenware,80
SKU10036,857,727.6916836478789,499.77064036957466,38.4438954130442,3027.64025300913,10,3,13,55.02399706500001,-129.3083163521211,58.3162940921324,-15.088484988578891,Under-forecasting,TOASTER 2-SLICE,Kitchenware,81
SKU10016,540,263.1651647499158,495.078082058597,38.082929389122846,3984.5318697383273,9,4,13,63.123148446020394,-276.8348352500842,91.6811263071476,-51.265710231497074,Under-forecasting,HANGING ORNAMENT GLASS,Home Decor,82
SKU10048,612,376.5052306643401,489.14569968084,37.626592283141534,3454.8506450982077,8,5,13,58.77797755195569,-235.4947693356599,79.92576792170588,-38.47953747314704,Under-forecasting,NOTEBOOK A5 RULED,Stationery,83
SKU10027,443,287.64031849289233,488.0010970515352,37.53854592704117,3450.627226683185,10,3,13,58.742039687800975,-155.35968150710767,110.15826118544814,-35.06990553207848,Under-forecasting,JAM MAKING SET WITH JARS,Kitchenware,84
SKU10093,472,272.0940954466821,474.366004551866,36.489692657835846,4267.102354651619,9,4,13,65.32306143049037,-199.9059045533179,100.50127215081908,-42.352945879940236,Under-forecasting,SOCKS PACK COTTON,Apparel,85
SKU10086,348,551.2203071703801,461.8351665074412,35.52578203903394,2248.7076482924276,12,1,13,47.42054036272075,203.22030717038012,132.7112547435176,58.39663999148854,Over-forecasting,KNITTED UNION FLAG HOT WATER BOTTLE,Apparel,86
SKU10007,606,554.0344072338895,450.73724048665997,34.672095422050766,2592.458580175118,10,3,13,50.91619172890995,-51.96559276611049,74.37908258855775,-8.575180324440675,Under-forecasting,DREAM CATCHER FEATHER,Home Decor,87
SKU10068,725,768.347622001528,442.2379948641977,34.018307297245975,1827.575272982964,9,4,13,42.750149391352586,43.34762200152795,60.99834411919968,5.978982345038339,Over-forecasting,BABUSHKA BOXES NESTING,Toys,88
SKU10020,646,814.8513384409018,436.98127549112945,33.61394426854842,2115.534724950871,12,1,13,45.9949423844717,168.85133844090183,67.64416029274449,26.13797808682691,Over-forecasting,CURTAIN TIE BACK,Home Decor,89
SKU10081,496,592.0223205496502,430.673256999249,33.12871207686531,2387.5904014027155,10,3,13,48.86297577310162,96.0223205496502,86.82928568533247,19.359338820493992,Over-forecasting,COLORING SET CRAYON,Toys,90
SKU10085,721,819.546506632231,419.9847612779571,32.30652009830439,1875.1456273539675,10,3,13,43.30295171641268,98.54650663223094,58.250313630784625,13.668031433041739,Over-forecasting,RED WOOLLY HOTTIE WHITE HEART,Apparel,91
SKU10142,595,558.3931047607167,411.2601324400354,31.63539480307965,2395.201143063932,9,4,13,48.940792219414796,-36.60689523928329,69.11934998992191,-6.152419367946772,Under-forecasting,PASTA DRY PENNE,Food & Bev,92
SKU10122,681,739.4150629627921,402.31867019886727,30.947590015297482,1835.4036929933536,11,2,13,42.84161169929714,58.41506296279215,59.077631453578164,8.57783597104143,Over-forecasting,NAIL POLISH RED,Beauty,93
SKU10026,419,450.77296345097835,398.93023434999037,30.686941103845413,2813.3410426879996,11,2,13,53.04093742278693,31.772963450978352,95.21007979713374,7.583046169684571,Over-forecasting,RETROSPOT TEA SET CERAMIC 11 PC,Kitchenware,94
SKU10061,594,485.05627834146475,398.9088022489678,30.68529248068983,2695.244142819992,10,3,13,51.915740800069415,-108.94372165853525,67.15636401497774,-18.34069388190829,Under-forecasting,RULER SET METRIC,Stationery,95
SKU10071,543,746.2913548563458,388.34148067056174,29.87242159004321,1377.8340122157363,11,2,13,37.11918657804527,203.29135485634583,71.51776807929315,37.43855522216314,Over-forecasting,DOLL HOUSE WOODEN,Toys,96
SKU10080,546,520.7700829332168,377.3613899773465,29.027799229026655,2024.0249272267367,11,2,13,44.98916455355374,-25.229917066783173,69.1138076881587,-4.62086393164527,Balanced,PLAY DOUGH SET,Toys,97
SKU10106,518,670.7640394351115,369.9921900221383,28.46093769401064,1535.1301279920442,12,1,13,39.18073669537167,152.7640394351115,71.42706371083752,29.491127304075583,Over-forecasting,HEADPHONES OVER-EAR,Electronics,98
SKU10070,431,520.1935630178484,369.4497699831843,28.41921307562956,1338.797553999326,8,5,13,36.58958258848174,89.19356301784842,85.71920417243255,20.694562185115643,Over-forecasting,PLUSH BEAR LARGE,Toys,99
SKU10126,494,635.1787908793212,362.87604242686217,27.913541725143244,1417.0791737364793,11,2,13,37.644112072626704,141.17879087932124,73.45668875037695,28.578702607150046,Over-forecasting,PERFUME 50ML FLORAL,Beauty,100
SKU10130,282,411.86330212729,362.6146639180343,27.89343568600264,1524.1363617930083,11,2,13,39.040189059391196,129.86330212729,128.5867602546221,46.05081635719504,Over-forecasting,SOAP BAR ARTISAN,Beauty,101
SKU10012,481,585.0231379341682,360.5647674513215,27.735751342409344,1679.122266781183,10,3,13,40.977094416041545,104.02313793416818,74.96149011461985,21.626432002945567,Over-forecasting,DECORATIVE PILLOW,Home Decor,102
SKU10054,399,230.97773522518452,350.22981865617476,26.94075528124421,2571.238821616204,9,4,13,50.707384290813145,-168.02226477481548,87.77689690630946,-42.11084330195877,Under-forecasting,STAPLER STANDARD,Stationery,103
SKU10089,353,396.0754166321114,349.6912566386324,26.899327433740954,2116.9225847403522,12,1,13,46.010027002169345,43.0754166321114,99.06267893445677,12.202667601164702,Over-forecasting,TOTE BAG CANVAS,Apparel,104
SKU10139,387,214.24401057392663,346.62080994509995,26.66313922654615,2706.5345256680034,8,5,13,52.02436473103735,-172.75598942607337,89.56610076100773,-44.63979054937297,Under-forecasting,CHOCOLATE BOX ASSORTED,Food & Bev,105
SKU10008,399,431.6668163208635,331.10890122078365,25.46991547852182,1988.2976622515255,12,1,13,44.59033148846873,32.66681632086352,82.9846870227528,8.187172010241483,Over-forecasting,FAIRY LIGHTS LED,Home Decor,106
SKU10127,425,741.5959770357007,330.4238802297344,25.417221556133413,987.5281483246397,10,3,13,31.424960593843863,316.5959770357007,77.7467953481728,74.4931710672237,Over-forecasting,MAKEUP BRUSH SET,Beauty,107
SKU10050,510,652.0177803302001,326.7163485847299,25.13202681420999,1151.430467228254,10,3,13,33.932734449617435,142.01778033020014,64.06202913426075,27.84662359415689,Over-forecasting,MARKER SET 12 COLORS,Stationery,108
SKU10075,747,970.8160431076658,325.0780089034544,25.00600068488111,1030.1628594850279,10,3,13,32.09615022841568,223.8160431076658,43.51780574343433,29.96198702913866,Over-forecasting,ACTION FIGURE HERO,Toys,109
SKU10090,291,589.244166443396,298.244166443396,22.94185895718431,717.863057353076,13,0,13,26.79296656499754,298.244166443396,102.4894042760811,102.4894042760811,Over-forecasting,SCARF KNITTED WOOL,Apparel,110
SKU10014,478,530.8947785497126,294.1225470973503,22.624811315180793,830.6120605936447,8,5,13,28.82034109086228,52.894778549712555,61.531913618692535,11.065853253077941,Over-forecasting,FLOWER POT TERRACOTTA,Home Decor,111
SKU10040,319,585.1847810130439,293.9642646230183,22.61263574023218,673.713275267069,12,1,13,25.955987272054767,266.1847810130439,92.15180709185528,83.44350501976298,Over-forecasting,COOKIE JAR GLASS,Kitchenware,112
SKU10010,452,532.531060746955,292.56848568588566,22.50526812968351,820.871969587631,11,2,13,28.650863330581,80.53106074695495,64.72754108094816,17.816606359945787,Over-forecasting,TABLE RUNNER LINEN,Home Decor,113
SKU10146,428,540.4508862067016,283.1888370343531,21.78375669495024,953.4080824552501,12,1,13,30.877306917139812,112.45088620670163,66.16561612952175,26.273571543621877,Over-forecasting,DRIED FRUIT MIX,Food & Bev,114
SKU10069,297,293.33609873736816,267.401585314738,20.569352716518306,1356.2502744210751,11,2,13,36.827303382423686,-3.663901262631839,90.0342038096761,-1.233636788764929,Balanced,POPPY'S PLAYHOUSE BEDROOM,Toys,115
SKU10039,274,233.9482651563372,265.94513826209504,20.457318327853464,1858.5878190384867,11,2,13,43.11134211595003,-40.051734843662814,97.06026943872081,-14.61742147578935,Under-forecasting,MEASURING CUPS SET,Kitchenware,116
SKU10058,216,206.26331778486318,265.00173691544654,20.384748993495887,1573.2374420192702,11,2,13,39.66405730657506,-9.736682215136824,122.68598931270674,-4.50772324774853,Balanced,DIARY HARDCOVER,Stationery,117
SKU10064,323,229.84345412385954,261.50166187454255,20.115512451887888,2413.3546005863263,11,2,13,49.12590559558497,-93.15654587614046,80.9602668342237,-28.841035874966085,Under-forecasting,BINDER CLIPS BOX,Stationery,118
SKU10060,340,596.9512813019742,256.95128130197423,19.76548317707494,510.79248605943496,13,0,13,22.60071870670123,256.9512813019742,75.57390626528654,75.57390626528652,Over-forecasting,ERASER PACK 10,Stationery,119
SKU10030,393,438.6336114998636,253.1315962262193,19.471661248170715,588.6250950026472,8,5,13,24.26159712390442,45.633611499863605,64.41007537562832,11.61160597960906,Over-forecasting,CUTLERY SET STAINLESS,Kitchenware,120
SKU10053,257,217.28161787888024,251.67043291091807,19.35926407007062,1136.7829857500208,10,3,13,33.716212506004005,-39.71838212111976,97.92623848673855,-15.454623393431813,Under-forecasting,DESK ORGANIZER MESH,Stationery,121
SKU10095,232,282.05445786414884,247.8973530180567,19.06902715523513,942.244898472085,12,1,13,30.6960078588745,50.054457864148844,106.85230733536926,21.57519735523657,Over-forecasting,HOODIE FLEECE,Apparel,122
SKU10032,288,177.8900372018179,241.3260850929747,18.563545007151898,2081.670647822652,10,3,13,45.62532901604823,-110.1099627981821,83.79377954617176,-38.232625971591006,Under-forecasting,WOODEN SPOON SET,Kitchenware,123
SKU10033,331,415.7248760010789,236.00998984406232,18.15461460338941,548.0049102012443,10,3,13,23.409504697905174,84.72487600107888,71.30211173536625,25.596639275250414,Over-forecasting,CUTTING BOARD BAMBOO,Kitchenware,124
SKU10025,232,410.2433481083579,227.3533280745831,17.4887175441987,462.83427290860607,12,1,13,21.513583451127012,178.2433481083579,97.99712417007892,76.82902935705083,Over-forecasting,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,125
