priority_rank,sku_id,description,category,subcategory,supplier,week_start,week_end,weekly_forecast_demand,forecast_weeks_available,lead_time_days,lead_time_weeks,ending_on_hand_units,ending_on_order_units,inventory_position_units,average_reorder_point,demand_rolling_std_13,safety_stock_units,lead_time_forecast_units,lead_time_need_units,projected_lead_time_balance_units,stockout_gap_units,stockout_risk_score,stockout_risk_level,forecast_horizon_units,overstock_threshold_units,excess_inventory_units,overstock_risk_score,overstock_risk_level,inventory_coverage_weeks,minimum_order_quantity,recommended_order_units,unit_cost,list_price,recommended_order_cost,potential_lost_revenue,excess_inventory_value,overall_risk_score,primary_risk,value_at_stake,recommended_action
11,SKU10088,LUNCH BAG SPACEBOY DESIGN,Apparel,Apparel,SUP121,2024-12-23,2024-12-29,11.349993786095249,8,20,3,133,20,153,145.0,2.358835001457916,6.741276414174913,34.04998135828575,40.79125777246066,112.20874222753935,0.0,0.0,Low,90.79995028876199,97.54122670293691,55.45877329706309,36.247564246209556,High,13.480183591592676,10,0.0,20.79,39.24,0.0,0.0,1152.9878968459416,36.247564246209556,Overstock,1152.9878968459416,"Pause replenishment; consider transfer, promotion or markdown"
12,SKU10098,BACKPACK CASUAL,Apparel,Apparel,SUP112,2024-12-23,2024-12-29,13.525487143838173,8,20,3,177,0,177,158.0,3.819652286497333,10.916122515309024,40.57646143151452,51.492583946823544,125.50741605317646,0.0,0.0,Low,108.20389715070539,119.12001966601441,57.879980333985586,32.70055386082406,High,13.086404808764035,50,0.0,25.73,43.71,0.0,0.0,1489.2518939934491,32.70055386082406,Overstock,1489.2518939934491,"Pause replenishment; consider transfer, promotion or markdown"
13,SKU10024,INCENSE HOLDER WOOD,Home Decor,Home Decor,SUP114,2024-12-23,2024-12-29,215.05800997518637,8,5,1,195,0,195,172.0,102.58411183024398,169.26378451990257,215.05800997518637,384.32179449508897,-189.32179449508897,189.32179449508897,49.261269385807786,Medium,1720.464079801491,1889.7278643213936,0.0,0.0,Low,0.9067320953193017,50,450.0,10.77,19.62,4846.5,3714.4936079936456,0.0,49.261269385807786,Stockout,3714.4936079936456,Review supplier timing and place or expedite the recommended order
14,SKU10071,DOLL HOUSE WOODEN,Toys,Toys,SUP100,2024-12-23,2024-12-29,60.926576036942194,8,15,3,154,0,154,153.0,39.361897494391386,112.49173046529653,182.77972811082657,295.2714585761231,-141.2714585761231,141.2714585761231,47.84460349025704,Medium,487.41260829553755,599.9043387608341,0.0,0.0,Low,2.527632603326071,100,300.0,1.86,3.24,558.0,457.7195257866389,0.0,47.84460349025704,Stockout,457.7195257866389,Review supplier timing and place or expedite the recommended order
15,SKU10119,CHARGER ADAPTER FAST,Electronics,Electronics,SUP106,2024-12-23,2024-12-29,113.30935870412242,8,12,2,100,200,300,234.0,142.0490615859038,331.4647205383077,226.61871740824483,558.0834379465525,-258.0834379465525,258.0834379465525,46.24459720498042,Medium,906.4748696329793,1237.939590171287,0.0,0.0,Low,2.6476189030719968,10,380.0,114.13,189.13,43369.4,48811.32061883148,0.0,46.24459720498042,Stockout,48811.32061883148,Review supplier timing and place or expedite the recommended order
16,SKU10083,KITE COLORFUL,Toys,Toys,SUP121,2024-12-23,2024-12-29,116.06026626637414,8,16,3,0,333,333,266.0,92.58675765090652,264.60219779307033,348.18079879912244,612.7829965921928,-279.78299659219283,279.78299659219283,45.65776109122882,Medium,928.4821301309931,1193.0843279240635,0.0,0.0,Low,2.8691990007649952,10,400.0,10.36,16.16,4144.0,4521.2932249298365,0.0,45.65776109122882,Stockout,4521.2932249298365,Review supplier timing and place or expedite the recommended order
17,SKU10126,PERFUME 50ML FLORAL,Beauty,Beauty,SUP110,2024-12-23,2024-12-29,54.69877845754779,8,8,2,102,0,102,80.0,33.14652783765307,77.34584420241741,109.39755691509558,186.74340111751297,-84.74340111751297,84.74340111751297,45.37959607136654,Medium,437.5902276603823,514.9360718627997,0.0,0.0,Low,1.8647582793674837,100,200.0,23.14,36.72,4628.0,3111.7776890350765,0.0,45.37959607136654,Stockout,3111.7776890350765,Review supplier timing and place or expedite the recommended order
18,SKU10147,CEREAL BOX MUESLI,Food & Bev,Food & Bev,SUP118,2024-12-23,2024-12-29,381.1895698395456,8,3,1,341,0,341,178.0,141.46282468984836,233.41366073824977,381.1895698395456,614.6032305777953,-273.60323057779533,273.60323057779533,44.51705050754984,Medium,3049.5165587163647,3282.9302194546144,0.0,0.0,Low,0.8945680233158987,50,700.0,10.76,18.63,7532.0,5097.228185664327,0.0,44.51705050754984,Stockout,5097.228185664327,Review supplier timing and place or expedite the recommended order
19,SKU10076,RC HELICOPTER MINI,Toys,Toys,SUP111,2024-12-23,2024-12-29,152.90270171250756,8,15,3,147,213,360,341.0,65.8234818984135,188.1158647155851,458.7081051375227,646.8239698531078,-286.82396985310777,286.82396985310777,44.34343549726542,Medium,1223.2216137000605,1411.3374784156456,0.0,0.0,Low,2.3544384498639093,10,440.0,16.64,27.55,7321.6,7902.00036945312,0.0,44.34343549726542,Stockout,7902.00036945312,Review supplier timing and place or expedite the recommended order
20,SKU10063,TAPE DISPENSER,Stationery,Stationery,SUP116,2024-12-23,2024-12-29,153.44913324515645,8,7,1,187,0,187,185.0,110.50002900568133,182.32504785937417,153.44913324515645,335.7741811045306,-148.7741811045306,148.7741811045306,44.30780848446841,Medium,1227.5930659612516,1409.9181138206256,0.0,0.0,Low,1.21864487628771,20,320.0,7.26,11.34,2323.2,1687.099213725377,0.0,44.30780848446841,Stockout,1687.099213725377,Review supplier timing and place or expedite the recommended order
21,SKU10036,TOASTER 2-SLICE,Kitchenware,Kitchenware,SUP102,2024-12-23,2024-12-29,58.7570468729252,8,9,2,144,0,144,107.0,59.21029449647226,138.16440248987658,117.5140937458504,255.67849623572698,-111.67849623572698,111.67849623572698,43.679268252706855,Medium,470.0563749834016,608.2207774732782,0.0,0.0,Low,2.450769867849742,10,180.0,6.45,12.92,1161.0,1442.8861713655926,0.0,43.679268252706855,Stockout,1442.8861713655926,Review supplier timing and place or expedite the recommended order
22,SKU10140,BISCUITS PACK BUTTER,Food & Bev,Food & Bev,SUP112,2024-12-23,2024-12-29,272.5460260303876,8,3,1,271,0,271,105.0,121.15062673785212,199.898534117456,272.5460260303876,472.4445601478436,-201.44456014784362,201.44456014784362,42.63877227930798,Medium,2180.368208243101,2380.266742360557,0.0,0.0,Low,0.994327468087114,10,480.0,6.69,14.07,3211.2000000000003,2834.3249612801596,0.0,42.63877227930798,Stockout,2834.3249612801596,Review supplier timing and place or expedite the recommended order
23,SKU10042,FRUIT BASKET WIRE,Kitchenware,Kitchenware,SUP108,2024-12-23,2024-12-29,224.65295860812483,8,8,2,40,401,441,329.0,136.32107649749503,318.0987401130951,449.30591721624967,767.4046573293448,-326.4046573293448,326.4046573293448,42.53357784729176,Medium,1797.2236688649987,2115.322408978094,0.0,0.0,Low,1.9630277862009458,100,600.0,16.29,29.24,9774.0,9544.07218031004,0.0,42.53357784729176,Stockout,9544.07218031004,Review supplier timing and place or expedite the recommended order
24,SKU10125,BODY LOTION VANILLA,Beauty,Beauty,SUP120,2024-12-23,2024-12-29,93.14354818651799,8,8,2,92,98,190,113.0,60.4847935964921,141.13838544546917,186.28709637303598,327.42548181850515,-137.42548181850515,137.42548181850515,41.97152923310397,Medium,745.1483854921439,886.286770937613,0.0,0.0,Low,2.0398621665080765,20,240.0,8.21,16.14,1970.4,2218.0472765506734,0.0,41.97152923310397,Stockout,2218.0472765506734,Review supplier timing and place or expedite the recommended order
25,SKU10013,SCENTED CANDLE LAVENDER,Home Decor,Home Decor,SUP101,2024-12-23,2024-12-29,84.11072576696651,8,8,2,81,112,193,127.0,70.01730555314936,163.38204813824,168.22145153393302,331.60349967217303,-138.60349967217303,138.60349967217303,41.797960458433046,Medium,672.8858061357321,836.267854273972,0.0,0.0,Low,2.294594396138221,20,240.0,1.39,2.24,333.59999999999997,310.4718392656676,0.0,41.797960458433046,Stockout,310.4718392656676,Review supplier timing and place or expedite the recommended order
26,SKU10046,BAKING TRAY NON-STICK,Kitchenware,Kitchenware,SUP127,2024-12-23,2024-12-29,81.42958271021571,8,10,2,195,0,195,144.0,73.78346698278688,172.17020648184172,162.85916542043142,335.02937190227317,-140.02937190227317,140.02937190227317,41.79614793377019,Medium,651.4366616817257,823.6068681635675,0.0,0.0,Low,2.39470710164325,10,230.0,14.98,24.26,3445.4,3397.112562349147,0.0,41.79614793377019,Stockout,3397.112562349147,Review supplier timing and place or expedite the recommended order
27,SKU10011,WALL CLOCK ROMAN,Home Decor,Home Decor,SUP117,2024-12-23,2024-12-29,84.38002300616219,8,8,2,0,201,201,110.0,73.99610176842477,172.66637962801602,168.76004601232438,341.4264256403404,-140.42642564034043,140.42642564034043,41.12933712631099,Medium,675.0401840492975,847.7065636773135,0.0,0.0,Low,2.3820804123900414,100,300.0,1.46,2.31,438.0,324.3850432291864,0.0,41.12933712631099,Stockout,324.3850432291864,Review supplier timing and place or expedite the recommended order
28,SKU10079,BABY RATTLE WOODEN,Toys,Toys,SUP127,2024-12-23,2024-12-29,74.036155349434,8,14,2,139,69,208,200.0,87.47080098890729,204.10894856574853,148.072310698868,352.18125926461653,-144.18125926461653,144.18125926461653,40.93950358553135,Medium,592.289242795472,796.3981913612205,0.0,0.0,Low,2.8094381592113584,20,220.0,16.77,36.59,3689.4,5275.592276492319,0.0,40.93950358553135,Stockout,5275.592276492319,Review supplier timing and place or expedite the recommended order
29,SKU10055,PAPER CLIPS BOX,Stationery,Stationery,SUP113,2024-12-23,2024-12-29,134.96007278610648,8,3,1,187,0,187,62.0,109.92106725119176,181.3697609644664,134.96007278610648,316.3298337505729,-129.3298337505729,129.3298337505729,40.88448826238155,Medium,1079.6805822888518,1261.0503432533183,0.0,0.0,Low,1.38559498479502,10,270.0,2.22,3.75,599.4000000000001,484.98687656464836,0.0,40.88448826238155,Stockout,484.98687656464836,Review supplier timing and place or expedite the recommended order
30,SKU10108,POWER BANK 10000MAH,Electronics,Electronics,SUP120,2024-12-23,2024-12-29,216.92850949648485,8,16,3,0,600,600,482.0,124.87634909822825,356.8820991480348,650.7855284894546,1007.6676276374894,-407.66762763748943,407.66762763748943,40.456556949524646,Medium,1735.4280759718788,2092.3101751199138,0.0,0.0,Low,2.7658881785186584,20,640.0,122.2,201.02,78208.0,81949.34650768813,0.0,40.456556949524646,Stockout,81949.34650768813,Review supplier timing and place or expedite the recommended order
31,SKU10020,CURTAIN TIE BACK,Home Decor,Home Decor,SUP107,2024-12-23,2024-12-29,64.39575496476076,8,5,1,81,0,81,68.0,42.35064253440466,69.8785601817677,64.39575496476076,134.27431514652847,-53.274315146528465,53.274315146528465,39.67573030478351,Medium,515.166039718086,585.0445998998538,0.0,0.0,Low,1.257846888266557,100,200.0,4.69,9.92,938.0000000000001,528.4812062535624,0.0,39.67573030478351,Stockout,528.4812062535624,Review supplier timing and place or expedite the recommended order
32,SKU10109,PHONE CASE SILICONE,Electronics,Electronics,SUP104,2024-12-23,2024-12-29,137.98114495371436,8,13,2,233,108,341,278.0,119.00667940745916,277.69641905117584,275.9622899074287,553.6587089586046,-212.65870895860462,212.65870895860462,38.40971080509462,Medium,1103.849159629715,1381.5455786808907,0.0,0.0,Low,2.47135215550203,50,400.0,158.37,243.95,63348.0,51878.092050451596,0.0,38.40971080509462,Stockout,51878.092050451596,Review supplier timing and place or expedite the recommended order
33,SKU10039,MEASURING CUPS SET,Kitchenware,Kitchenware,SUP125,2024-12-23,2024-12-29,16.159868708033894,8,11,2,83,0,83,74.0,43.645571338177,101.84486222455438,32.31973741606779,134.16459964062216,-51.16459964062216,51.16459964062216,38.13569285585917,Medium,129.27894966427115,231.12381188882551,0.0,0.0,Low,5.136180342773235,100,100.0,5.89,12.3,589.0,629.3245755796526,0.0,38.13569285585917,Stockout,629.3245755796526,Review supplier timing and place or expedite the recommended order
34,SKU10092,GLOVES PAIR LEATHER,Apparel,Apparel,SUP117,2024-12-23,2024-12-29,259.65376032337645,8,22,4,58,850,908,856.0,129.89709931425097,428.66042773702816,1038.6150412935058,1467.275469030534,-559.2754690305339,559.2754690305339,38.11659642886828,Medium,2077.2300825870116,2505.8905103240395,0.0,0.0,Low,3.496964568774833,50,850.0,32.02,50.18,27217.000000000004,28064.443035952194,0.0,38.11659642886828,Stockout,28064.443035952194,Review supplier timing and place or expedite the recommended order
35,SKU10050,MARKER SET 12 COLORS,Stationery,Stationery,SUP102,2024-12-23,2024-12-29,48.65169585375879,8,3,1,62,0,62,37.0,30.190633629891853,49.81454548932155,48.65169585375879,98.46624134308034,-36.46624134308034,36.46624134308034,37.034257472723816,Medium,389.2135668300703,439.0281123193919,0.0,0.0,Low,1.2743646220753462,50,100.0,6.49,13.3,649.0,485.00100986296854,0.0,37.034257472723816,Stockout,485.00100986296854,Review supplier timing and place or expedite the recommended order
36,SKU10045,CASSEROLE DISH OVAL,Kitchenware,Kitchenware,SUP107,2024-12-23,2024-12-29,1422.2173733825716,8,8,2,700,1531,2231,1619.0,296.14161979424455,691.0323669086595,2844.4347467651432,3535.4671136738025,-1304.4671136738025,1304.4671136738025,36.89659871614321,Medium,11377.738987060573,12068.771353969232,0.0,0.0,Low,1.5686772231545991,100,2800.0,14.42,29.74,40376.0,38794.85196065888,0.0,36.89659871614321,Stockout,38794.85196065888,Review supplier timing and place or expedite the recommended order
37,SKU10082,WOODEN TRAIN SET,Toys,Toys,SUP107,2024-12-23,2024-12-29,323.87227255613556,8,12,2,415,276,691,596.0,184.4543929455817,430.41554183584736,647.7445451122711,1078.1600869481185,-387.16008694811853,387.16008694811853,35.909332170111185,Medium,2590.9781804490844,3021.3937222849318,0.0,0.0,Low,2.1335571413580383,10,720.0,5.18,10.35,3729.6,4007.1068999130266,0.0,35.909332170111185,Stockout,4007.1068999130266,Review supplier timing and place or expedite the recommended order
38,SKU10115,SMART PLUG WIFI,Electronics,Electronics,SUP103,2024-12-23,2024-12-29,138.31384523803118,8,16,3,105,269,374,327.0,58.71661626525345,167.80526832290778,414.94153571409356,582.7468040370013,-208.7468040370013,208.7468040370013,35.8211838470055,Medium,1106.5107619042494,1274.3160302271572,0.0,0.0,Low,2.7039953907460585,100,400.0,44.6,70.62,17840.0,14741.699301093033,0.0,35.8211838470055,Stockout,14741.699301093033,Review supplier timing and place or expedite the recommended order
39,SKU10099,WALLET LEATHER BIFOLD,Apparel,Apparel,SUP128,2024-12-23,2024-12-29,146.41419515291338,8,23,4,203,268,471,449.0,42.75826505798893,141.10227469136345,585.6567806116535,726.759055303017,-255.75905530301702,255.75905530301702,35.19172598352121,Medium,1171.313561223307,1312.4158359146704,0.0,0.0,Low,3.2169011994232717,10,410.0,42.5,71.18,17425.0,18204.929556468753,0.0,35.19172598352121,Stockout,18204.929556468753,Review supplier timing and place or expedite the recommended order
40,SKU10007,DREAM CATCHER FEATHER,Home Decor,Home Decor,SUP118,2024-12-23,2024-12-29,40.17764958060858,8,9,2,70,69,139,89.0,55.8064420507075,130.22167490623295,80.35529916121716,210.57697406745012,-71.57697406745012,71.57697406745012,33.99088356364325,Medium,321.42119664486864,451.6428715511016,0.0,0.0,Low,3.4596349326289917,50,150.0,13.37,24.61,2005.4999999999998,1761.5093317999474,0.0,33.99088356364325,Stockout,1761.5093317999474,Review supplier timing and place or expedite the recommended order
41,SKU10128,HAIR DRYER COMPACT,Beauty,Beauty,SUP125,2024-12-23,2024-12-29,85.74604265719755,8,11,2,169,103,272,199.0,101.98856145012866,237.98545123599473,171.4920853143951,409.4775365503898,-137.4775365503898,137.4775365503898,33.57388972011075,Medium,685.9683412575804,923.9537924935751,0.0,0.0,Low,3.172158056173199,100,300.0,11.03,22.8,3309.0,3134.4878333488878,0.0,33.57388972011075,Stockout,3134.4878333488878,Review supplier timing and place or expedite the recommended order
42,SKU10033,CUTTING BOARD BAMBOO,Kitchenware,Kitchenware,SUP129,2024-12-23,2024-12-29,33.179348067229085,8,8,2,84,0,84,80.0,23.715190414800706,55.33826746613812,66.35869613445817,121.69696360059629,-37.69696360059629,37.69696360059629,30.976092159543263,Medium,265.4347845378327,320.7730520039708,0.0,0.0,Low,2.53169531329538,10,80.0,1.27,2.3,101.6,86.70301628137146,0.0,30.976092159543263,Stockout,86.70301628137146,Review supplier timing and place or expedite the recommended order
43,SKU10077,BUILDING BLOCKS 200PC,Toys,Toys,SUP129,2024-12-23,2024-12-29,84.71865554958767,8,15,3,189,87,276,266.0,50.78814721404884,145.14662480508352,254.155966648763,399.3025914538465,-123.3025914538465,123.3025914538465,30.879486908561592,Medium,677.7492443967013,822.8958692017849,0.0,0.0,Low,3.2578420680726126,50,250.0,15.14,24.49,3785.0,3019.6804647047006,0.0,30.879486908561592,Stockout,3019.6804647047006,Review supplier timing and place or expedite the recommended order
44,SKU10146,DRIED FRUIT MIX,Food & Bev,Food & Bev,SUP101,2024-12-23,2024-12-29,41.54171340828345,8,4,1,71,0,71,51.0,36.463539921265735,60.16484087008846,41.54171340828345,101.70655427837191,-30.70655427837191,30.70655427837191,30.19132296432522,Medium,332.3337072662676,392.4985481363561,0.0,0.0,Low,1.7091254590823532,20,80.0,10.55,21.42,844.0,657.7343926427263,0.0,30.19132296432522,Stockout,657.7343926427263,Review supplier timing and place or expedite the recommended order
45,SKU10065,INDEX CARDS PACK,Stationery,Stationery,SUP102,2024-12-23,2024-12-29,86.45926192617902,8,3,1,129,0,129,44.0,58.481971800214,96.49525347035309,86.45926192617902,182.95451539653212,-53.954515396532116,53.954515396532116,29.490671645516496,Medium,691.6740954094322,788.1693488797853,0.0,0.0,Low,1.492032167821919,100,200.0,2.41,4.93,482.0,265.9957609049033,0.0,29.490671645516496,Stockout,265.9957609049033,Review supplier timing and place or expedite the recommended order
46,SKU10107,USB CABLE TYPE-C,Electronics,Electronics,SUP103,2024-12-23,2024-12-29,155.99284405143155,8,16,3,141,333,474,388.0,70.68075573145232,201.99738907299687,467.9785321542946,669.9759212272915,-195.97592122729145,195.97592122729145,29.251188739440305,Medium,1247.9427524114524,1449.9401414844492,0.0,0.0,Low,3.038600923538006,10,360.0,87.8,156.57,31608.0,30683.94998655702,0.0,29.251188739440305,Stockout,30683.94998655702,Review supplier timing and place or expedite the recommended order
47,SKU10029,SET 7 BABUSHKA NESTING BOXES,Kitchenware,Kitchenware,SUP127,2024-12-23,2024-12-29,71.18090852297931,8,11,2,209,0,209,166.0,64.41273166075167,150.30404186182088,142.36181704595862,292.66585890777947,-83.66585890777947,83.66585890777947,28.58750221830868,Medium,569.4472681838345,719.7513100456554,0.0,0.0,Low,2.936180562131047,100,200.0,21.19,36.75,4238.0,3074.7203148608955,0.0,28.58750221830868,Stockout,3074.7203148608955,Review supplier timing and place or expedite the recommended order
48,SKU10078,STUFFED ANIMAL DOG,Toys,Toys,SUP117,2024-12-23,2024-12-29,57.714178919255545,8,16,3,103,163,266,255.0,69.42326514641718,198.40362706051826,173.14253675776663,371.54616381828487,-105.54616381828487,105.54616381828487,28.407281273834155,Medium,461.71343135404436,660.1170584145626,0.0,0.0,Low,4.6089194194748,100,200.0,17.14,35.88,3428.0,3786.996357800061,0.0,28.407281273834155,Stockout,3786.996357800061,Review supplier timing and place or expedite the recommended order
49,SKU10010,TABLE RUNNER LINEN,Home Decor,Home Decor,SUP128,2024-12-23,2024-12-29,40.781593331059284,8,8,2,115,0,115,72.0,33.402748236388994,77.94372230111824,81.56318666211857,159.5069089632368,-44.50690896323681,44.50690896323681,27.902809509784774,Medium,326.2527466484743,404.1964689495925,0.0,0.0,Low,2.8198996313470652,100,100.0,9.46,17.58,946.0000000000001,782.431459573703,0.0,27.902809509784774,Stockout,782.431459573703,Review supplier timing and place or expedite the recommended order
50,SKU10064,BINDER CLIPS BOX,Stationery,Stationery,SUP119,2024-12-23,2024-12-29,17.25761747205982,8,3,1,72,0,72,23.0,49.10219588802156,81.01862321523558,17.25761747205982,98.2762406872954,-26.2762406872954,26.2762406872954,26.73712435810019,Medium,138.06093977647856,219.07956299171414,0.0,0.0,Low,4.1720706880059435,50,50.0,9.33,14.52,466.5,381.5310147795292,0.0,26.73712435810019,Stockout,381.5310147795292,Review supplier timing and place or expedite the recommended order
51,SKU10123,SHAMPOO HERBAL,Beauty,Beauty,SUP104,2024-12-23,2024-12-29,527.0192177718749,8,11,2,63,1012,1075,753.0,173.12015984162488,403.96764864756955,1054.0384355437498,1458.0060841913194,-383.00608419131936,383.00608419131936,26.26916913062749,Medium,4216.153742174999,4620.121390822568,0.0,0.0,Low,2.0397738142166264,100,1000.0,4.08,6.43,4080.0,2462.7291213501835,0.0,26.26916913062749,Stockout,2462.7291213501835,Review supplier timing and place or expedite the recommended order
52,SKU10038,MIXING BOWL CERAMIC,Kitchenware,Kitchenware,SUP100,2024-12-23,2024-12-29,60.93342652382873,8,12,2,141,69,210,145.0,68.3892516671278,159.58306192652825,121.86685304765746,281.44991497418573,-71.44991497418573,71.44991497418573,25.38636935828713,Medium,487.46741219062983,647.050474117158,0.0,0.0,Low,3.446384225871116,10,140.0,10.87,23.62,1521.8,1687.646991690267,0.0,25.38636935828713,Stockout,1687.646991690267,Review supplier timing and place or expedite the recommended order
53,SKU10085,RED WOOLLY HOTTIE WHITE HEART,Apparel,Apparel,SUP114,2024-12-23,2024-12-29,69.01934924843933,8,23,4,204,117,321,301.0,45.2578085060383,149.35076806992637,276.0773969937573,425.42816506368365,-104.42816506368365,104.42816506368365,24.54660354887552,Medium,552.1547939875146,701.505562057441,0.0,0.0,Low,4.650869698068886,10,180.0,4.28,9.04,770.4000000000001,944.0306121757001,0.0,24.54660354887552,Stockout,944.0306121757001,Review supplier timing and place or expedite the recommended order
54,SKU10051,STICKY NOTES PACK,Stationery,Stationery,SUP123,2024-12-23,2024-12-29,155.2779755448067,8,3,1,188,0,188,72.0,54.79881619533631,90.41804672230491,155.2779755448067,245.69602226711163,-57.69602226711163,57.69602226711163,23.482684715242083,Medium,1242.2238043584537,1332.6418510807587,0.0,0.0,Low,1.2107319105648122,100,300.0,6.94,11.03,2082.0,636.3871256062413,0.0,23.482684715242083,Stockout,636.3871256062413,Review supplier timing and place or expedite the recommended order
